accession	full_path
GCF_933775445.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/933/775/445/GCF_933775445.1_drPotAnse1.1/GCF_933775445.1_drPotAnse1.1_genomic.gff.gz
GCF_947563725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/563/725/GCF_947563725.1_qqArgBrue1.1/GCF_947563725.1_qqArgBrue1.1_genomic.gff.gz
GCA_015342795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/342/795/GCA_015342795.1_ASM1534279v1//GCA_015342795.1_ASM1534279v1_genomic.gff.gz
GCF_905147365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/147/365/GCF_905147365.1_ilAriAges1.1/GCF_905147365.1_ilAriAges1.1_genomic.gff.gz
GCA_019845555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/845/555/GCA_019845555.1_ASM1984555v1//GCA_019845555.1_ASM1984555v1_genomic.gff.gz
GCF_024139115.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/139/115/GCF_024139115.2_GZ_Asu_2/GCF_024139115.2_GZ_Asu_2_genomic.gff.gz
GCF_032884065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/884/065/GCF_032884065.1_ASM3288406v1/GCF_032884065.1_ASM3288406v1_genomic.gff.gz
GCA_032884065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/884/065/GCA_032884065.1_ASM3288406v1//GCA_032884065.1_ASM3288406v1_genomic.gff.gz
GCF_011762505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/762/505/GCF_011762505.1_mArvNil1.pat.X/GCF_011762505.1_mArvNil1.pat.X_genomic.gff.gz
GCF_903992535.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/992/535/GCF_903992535.2_mArvAmp1.2/GCF_903992535.2_mArvAmp1.2_genomic.gff.gz
